"7905F431B5CE4E99A40F4B1E122D00D0","Apple Notification Center Service UUID (https://developer.apple.com/library/archive/documentation/CoreBluetooth/Reference/AppleNotificationCenterServiceSpecification/Specification/Specification.html)"
"9FBF120D630142D98C5825E699A21DBD","Apple Notification Center Service: Characteristic (notifiable): Notification Source (https://developer.apple.com/library/archive/documentation/CoreBluetooth/Reference/AppleNotificationCenterServiceSpecification/Specification/Specification.html)"
"69D1D8F345E149A898219BBDFDAAD9D9","Apple Notification Center Service: Characteristic (writeable with response): Control Point (https://developer.apple.com/library/archive/documentation/CoreBluetooth/Reference/AppleNotificationCenterServiceSpecification/Specification/Specification.html)"
"22EAC6E924D64BB5BE44B36ACE7C7BFB","Apple Notification Center Service: Characteristic (notifiable): Data Source (https://developer.apple.com/library/archive/documentation/CoreBluetooth/Reference/AppleNotificationCenterServiceSpecification/Specification/Specification.html)"

"89D3502B0F36433A8EF4C502AD55F8DC","Apple Media Service UUID (https://developer.apple.com/library/archive/documentation/CoreBluetooth/Reference/AppleMediaService_Reference/Specification/Specification.html)"
"9B3C81D857B14A8AB8DF0E56F7CA51C2","Apple Media Service: Characteristic (writeable, notifiable): Remote Command (https://developer.apple.com/library/archive/documentation/CoreBluetooth/Reference/AppleMediaService_Reference/Specification/Specification.html)"
"2F7CABCE808D411F9A0CBB92BA96C102","Apple Media Service: Characteristic (writeable with response, notifiable): Entity Update (https://developer.apple.com/library/archive/documentation/CoreBluetooth/Reference/AppleMediaService_Reference/Specification/Specification.html)"
"C6B2F38C23AB46D8A6ABA3A870BBD5D7","Apple Media Service: Characteristic (readable, writeable): Entity Attribute (https://developer.apple.com/library/archive/documentation/CoreBluetooth/Reference/AppleMediaService_Reference/Specification/Specification.html)"

"D0611E78BBB44591A5F8487910AE4366","ASSOCIATED WITH: GATT_Service: Apple Continuity Service UUID (https://inria.hal.science/hal02359914/document)"
"8667556c9a374c9184ed54ee27d90049","ASSOCIATED WITH: GATT_Characteristic: Apple Continuity Characteristic UUID (https://inria.hal.science/hal02359914/document)"

"9fa480e0496745429390d343dc5d04ae","ASSOCIATED WITH: GATT_Service: Apple Nearby Service UUID (https://inria.hal.science/hal02359914/document)"
"af0badb15b9943cd917aa77bc549e3cc","ASSOCIATED WITH: GATT_Characteristic: Apple Nearby Characteristic UUID (https://inria.hal.science/hal02359914/document)"

